id,category_id,name,description,price,image_url,supplier_id,product_type,attributes,is_active,created_at,updated_at
10034,440901,Casual Fleece Hoodie (ID 10034),High-quality Casual Fleece Hoodie from the Clothing catalog. Serialized product ID: 10034.,55.92,https://images.example.com/products/10034.jpg,101,generic,"{""dataset_item_id"": 10034}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
18309,3351726,Plush Toy Bear (ID 18309),High-quality Plush Toy Bear from the Toys & Games catalog. Serialized product ID: 18309.,74.71,https://images.example.com/products/18309.jpg,101,generic,"{""dataset_item_id"": 18309}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
21762,1622413,Three-Seater Velvet Sofa (ID 21762),High-quality Three-Seater Velvet Sofa from the Furniture catalog. Serialized product ID: 21762.,173.53,https://images.example.com/products/21762.jpg,103,generic,"{""dataset_item_id"": 21762}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
23239,411153,Adjustable Standing Desk (ID 23239),High-quality Adjustable Standing Desk from the Furniture catalog. Serialized product ID: 23239.,122.95,https://images.example.com/products/23239.jpg,103,generic,"{""dataset_item_id"": 23239}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
28356,2885642,The Great Gatsby (ID 28356),High-quality The Great Gatsby from the Books catalog. Serialized product ID: 28356.,35.77,https://images.example.com/products/28356.jpg,101,generic,"{""dataset_item_id"": 28356}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
37314,1875258,Sport Sandals (ID 37314),High-quality Sport Sandals from the Shoes catalog. Serialized product ID: 37314.,104.95,https://images.example.com/products/37314.jpg,101,generic,"{""dataset_item_id"": 37314}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
38891,1859277,Anti-Slip Yoga Mat (ID 38891),High-quality Anti-Slip Yoga Mat from the Sports Equipment catalog. Serialized product ID: 38891.,7.8,https://images.example.com/products/38891.jpg,101,generic,"{""dataset_item_id"": 38891}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
44202,3880463,Three-Seater Velvet Sofa (ID 44202),High-quality Three-Seater Velvet Sofa from the Furniture catalog. Serialized product ID: 44202.,177.48,https://images.example.com/products/44202.jpg,103,generic,"{""dataset_item_id"": 44202}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
49781,3607361,Slim Fit Denim Jeans (ID 49781),High-quality Slim Fit Denim Jeans from the Clothing catalog. Serialized product ID: 49781.,16.7,https://images.example.com/products/49781.jpg,101,generic,"{""dataset_item_id"": 49781}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
64810,4672807,Adjustable Dumbbell Set (ID 64810),High-quality Adjustable Dumbbell Set from the Sports Equipment catalog. Serialized product ID: 64810.,72.31,https://images.example.com/products/64810.jpg,103,generic,"{""dataset_item_id"": 64810}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
81069,4239903,Adjustable Standing Desk (ID 81069),High-quality Adjustable Standing Desk from the Furniture catalog. Serialized product ID: 81069.,308.33,https://images.example.com/products/81069.jpg,101,generic,"{""dataset_item_id"": 81069}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
84698,1132465,Premium Arabica Coffee Beans (ID 84698),High-quality Premium Arabica Coffee Beans from the Food & Groceries catalog. Serialized product ID: 84698.,47.23,https://images.example.com/products/84698.jpg,102,generic,"{""dataset_item_id"": 84698}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
91877,2578647,Heavy-Duty Resistance Bands (ID 91877),High-quality Heavy-Duty Resistance Bands from the Sports Equipment catalog. Serialized product ID: 91877.,81.09,https://images.example.com/products/91877.jpg,101,generic,"{""dataset_item_id"": 91877}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
108408,2355072,Learning Python Development (ID 108408),High-quality Learning Python Development from the Books catalog. Serialized product ID: 108408.,31.76,https://images.example.com/products/108408.jpg,101,generic,"{""dataset_item_id"": 108408}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
116741,983613,Minimalist Wooden Desk (ID 116741),High-quality Minimalist Wooden Desk from the Furniture catalog. Serialized product ID: 116741.,372.52,https://images.example.com/products/116741.jpg,102,generic,"{""dataset_item_id"": 116741}",True,2026-06-07 15:13:55,2026-06-07 15:13:55
